content,source,page
"2. CIRCULAR BUSINESS MODELS │ 31 
 
BUSINESS MODELS FOR THE CIRCULAR ECONOMY © OECD 2019 
  
 
 
Remanufacturing can be a profitable business model; it has been adopted by an increasing 
number of multinationals worldwide. Its earning model is based upon generating 
additional revenue by reselling the same or similar products multiple times. Moreover, 
cost savings can be achieved by reducing the amount of virgin material and components 
being sourced. Often, a remanufactured product is 40% less expensiv e than a newly 
manufactured one (Le Moigne and Georgeault, 2016 [15]). In times of highly volatile 
natural resource prices, this may lead to a reduced sourcing risk. The successful and 
profitable integration of an in -house remanufacturing capacity requires several factors to 
be in place, such as dedicated factory facilities, a specialized workforce, and a 
sophisticated reverse logistics  system. Although remanufactured goods are usually 
cheaper than newly  manufactured ones, they often come with a comparable quality 
standard and warranty which makes them an interesting alternative for customers. 
Products suited for the remanufacturing model are mostly capital intensive and durable. 
They should have long product life cycles and a modular design for easy disassembly and 
repair in order to be economically viable. Annex 1 provides a case example for heavy 
machinery manufacturer Caterpillar. 
2.2.4. Sharing models 
Sharing models, or sharing economy or sharing platform mo dels as they are sometimes 
called, involve using under -utilised consumer assets more intensively, either through 
lending or pooling (Box 2.2). There are a variety of products that sit unused for much of 
their effective life; housing, vehicles, clothing, and tools are some examples. Research by 
the Ellen McArthur Foundation finds that the average European vehicle is parked 92% of 
the time and that, even when it is in use, only 1.5 of the available 5 seats are typically 
used (Ellen McArthur Foundation, 2015 [16]). Sharing of these products has always taken 
place, but has become more widespread in recent years as the phenomenon of “sharing 
between strangers” has emerged. This has largely resulted from the em ergence of various 
technologies – the internet, mobile phone technology, and the development of referral and 
reputational systems – that have reduced the transaction costs and risks associated with 
sharing assets.  
Box 2.1. The definition of remanufacturing used in this report 
According to the European Remanufacturing Network (Parker et  al., 2015[14]), the only 
definition for remanufacturing that is recognised as a national standard is that produced 
by th e British Standards Institution. BS 8887 -2 states that remanufacturing involves 
“returning a product to at least its original performance with a warranty that is equivalent 
or better than that of new, newly manufactured product”. Supplementary notes to thi s 
definition state that remanufacturing involves the dismantling of products, restoring and 
replacing components, and testing individual parts and the whole product to ensure it fits 
within the original design specifications. It is this process that ensure s that 
remanufactured products have at least the same performance level as the original new 
product.",../data/raw/business_models_circular_economy_oecd.pdf,32
"32 │ 2. CIRCULAR BUSINESS MODELS 
 
BUSINESS MODELS FOR THE CIRCULAR ECONOMY © OECD 2019 
  
Most of today’s sharing practices are fac ilitated by online platforms, some of which – 
Airbnb for example – have become powerful market actors. Sharing models have two 
sub-types: co-ownership and co -access. The underlying business case for both is clear. 
Online platforms facilitate transactions b etween the owners of under -utilised assets and 
individuals seeking to use them; platform owners can generate a small margin on each 
related transaction. Significantly, because the capital cost of the underlying goods has 
already been paid (by owners), the up-front investment cost required to launch an online 
platform is significantly smaller than that required to become a traditional provider. 
Platforms usually also have very small operational costs and significant potential for scale 
up.   
For the owners o f under-utilised assets and products, the emergence of online platforms 
provides an opportunity to earn additional income. Unused apartments, rooms, vehicles, 
vehicle seats, clothing, or tools can be leveraged, rather than sitting idle. Potential buyers 
also benefit to the extent that shared products are cheaper than their traditional 
equivalents. For example, one reason why accommodation sharing has performed so 
strongly in recent years is because it is often available at a price discount to traditional 
hotel rooms. Several recent assessments find that the average price of an Airbnb listing 
was between 15% and 20% lower than a traditional hotel equivalent (STR, 2017 [17]; 
Statista, 2017[18]). 
 
Box 2.2. The definition of sharing models used in this report 
There are widely diverging views about what activities sharing models encompass. This 
is partially a consequence of the use of the key enabling technology – online platforms – 
in a number of other closely related business models. The definition of sharing models 
used in this report follows that developed by Frenken and Schor (2017[19]), who describe 
the activities involved as “consumers granting each other temporary access to under -
utilized physical assets, possibly for money”. In this view, sharing models have three key 
aspects: 
 They involve peer to peer or, alternatively, consumer to consumer (C2C) 
transactions. Transactions that involve renting or leasing products from firms are 
separate since, in many cases, they would considered as product service system 
business models (consider urban car sharing schemes such as Autolib or the 
leasing of idle industrial capacity for example). 
 They involve the temporary, rather than permanent transfer of product o wnership. 
Online platforms that facilitate the sale and purchase of second hand goods would 
be considered to fall under product life extension business models (consider EBay 
for example). 
 They involve the more efficient use of under -utilised physical asset s, rather than 
services provided by private individuals. Online platforms that facilitate the 
service transactions between individuals are examples of on -demand business 
models (consider Uber or Task Rabbit). 
Focusing on the business activities facilitated  by online platforms, rather than the 
platforms themselves, has two main advantages. First, not all of the business activities 
that utilise online platforms necessarily have the potential to improve material efficiency",../data/raw/business_models_circular_economy_oecd.pdf,33
"2. CIRCULAR BUSINESS MODELS │ 33 
 
BUSINESS MODELS FOR THE CIRCULAR ECONOMY © OECD 2019 
  
Co-ownership 
The co-ownership variant of s haring models involves the lending of physical goods. The 
sharing of household tools and appliances on platforms like Peerby is one such example. 
Products that are especially suited for the co -ownership model are capital intensive, 
infrequently used, and have a low ownership rate (IDDRI, 2014[20]). Moreover, they must 
be eas y to transport and should be durable, in order to allow for the increased usage 
during their effective lifespan.  Urban areas are particularly suited to co -ownership 
models; high population densities reduce the transaction costs associated with a 
temporary change in product ownership (IDDRI, 2014[20]). Annex 1 provides examples of 
several sharing models.  
Co-access 
The co -access variant of sharing models involves allowing others to take part in an 
activity that would have taken place anyway. Thus, carpooling allows seats that would 
otherwise have remained empty to be occupied during a particular journey. Blablacar is a 
prominent example of this business model. Though its online platform, it links drivers 
intending to undertake long journeys with passengers that are willing to pay for a spare 
seat. 
2.2.5. Product service systems models 
Product service system (PSS) models combine a physical product with a service 
component. There are several variations, some of which place more emphasis on the 
physical product, and others that focus more on the service aspect. The typology used in 
this re port follows that developed by Tukker (2004[21]). It separates product service 
system models into three main variants: product -oriented, user -oriented, and result -
oriented PSS models. Each of these is briefly discussed below. 
Product-oriented product service system models 
Product-oriented PSS systems are focused mostly on the product end  of the PSS 
spectrum. Manufacturing firms that adopt this business model continue to produce and 
sell products in a conventional way, but include additional after-sales service in the value 
proposition. Services may, for instance, take the form of maintenance contracts and repair 
offerings through extended product warranties or take back agreements (COWI, 2008[22]). 
For example, the high -end outdoor clothing company Patagonia guarantees to repair 
broken apparel and operates a platform for customers to sell their products as second -
hand products.  
or stimulate a transition to a more circular economy. Consider the migration of traditional 
retail sales to online platforms such as Amazon or the emergence of on -demand services 
platforms such as Uber for example. Second, the regulatory issues relating to online 
platforms differ considerably  according to the specific business activities involved. 
Consider the distinction between B2C and C2C transactions and questions about who is, 
and is not, considered to be a producer for tax (and other) purposes.",../data/raw/business_models_circular_economy_oecd.pdf,34
"34 │ 2. CIRCULAR BUSINESS MODELS 
 
BUSINESS MODELS FOR THE CIRCULAR ECONOMY © OECD 2019 
  
User-oriented product service system models 
User-oriented (or access-oriented as they are sometimes called) PSS models put products 
and services on a more balanced  footing. Customers pay for temporary access to a 
particular product, typically through a short - or long -term l ease agreement, while the 
service provider retains full ownership of the product. Urban car sharing schemes, office 
equipment leases, and garment rental services are widely cited examples of user -oriented 
PSS models. Another rapidly emerging example concer ns the digitalisation of various 
forms of traditional media.2 Online platforms like Amazon, Netflix, Spotify, and Coursera 
allow literature, film, music, and education to be consumed without ownership of the 
underlying books, CDs, DVDs etc. 
User-oriented PSS models provide access to the services associated with a particular good 
without ownership of the good itself. That means that consumers only pay for a product 
when they actually need it; the upfront and ongoing costs of ownership are largely 
avoided.3 In the case of urban car sharing schemes, customers can temporarily use a 
vehicle without having to bear the associated running, maintenance, and parking costs. In 
addition, user -oriented PSS models can also provide consumers with access to high 
quality or technologically advanced products that they could not otherwise afford. One 
example concerns clothing; it is common for individuals to lease, rather than own, some 
types of expensive garments. 
Adopting a user -oriented PSS models can create various opportun ities for firms. By 
retaining ownership of products, and the components and materials embedded in them, 
manufacturers can potentially mitigate a range of supply chain risks (access to, and price 
volatility of, material inputs for example). This is likely t o be an important driver of 
business model adoption in certain situations (such as where the security of supply of key 
manufacturing inputs is uncertain), but not in others (such as where the business model is 
adopted by third party, non-manufacturing firms). In the latter case, the adoption of user -
oriented PSS is probably motivated by a different set of opportunities. For example, for 
expensive goods such as vehicles and high -end clothing, there may be value in targeting 
consumers who are unable or unwill ing to purchase new products, but who may be 
interested in paying for temporary access to them. Similarly, providing goods like 
literature and music digitally can reduce unit production costs while also increasing 
revenues (through the ability to sell advertising on the associated online platform). 
Result-oriented product service system models 
Result-oriented PSS models are situated at the service end of the PSS spectrum. Instead 
of marketing manufactured assets or goods in a traditional way, adopting firms market the 
services or outcomes provided by these goods. For example, an adopting firm might sell a 
heating outcome (maintaining a certain temperature level within a building), rather than 
the underlying heating equipment or energy inputs. Alternatively, an adopting firm may 
undertake the manufacturing of a particular brand’s products rather than selling the 
capital equipment itself.4 Essentially, contracts between suppliers and customers therefore 
describe a specific outcome, without necessarily specifying the means through which it is 
achieved (COWI, 2008[22]). This creates strong incentives for the efficient use of variable 
(and potentially polluting) inputs such as energy or chemicals. Result -oriented PSS 
models have been adopted in a range of sectors; US EPA (2017[23])gives the following 
three examples: 
Energy service companies  (ESCOs) offer energy efficiency and related services to their 
customers by assuming full performance risk for the project and products used. The level",../data/raw/business_models_circular_economy_oecd.pdf,35
"2. CIRCULAR BUSINESS MODELS │ 35 
 
BUSINESS MODELS FOR THE CIRCULAR ECONOMY © OECD 2019 
  
of compensation is tied closely to the energy efficiency savings they are able to 
accomplish. An example is the Dutch lighting company Philips which introduced 
‘Circular Lighting’ or ‘pay -per-lux’ back in 2009. A client may agree with Philips on a 
specific level of brightness for a facility measured in lux. The task of Philips then is to 
provide the level of brightness with the most cost -effective lighting equipment possi ble 
(see additional details on this in annex 1).   
Chemical management services  (CMS) or chemical leasing aims at supplying and 
managing the customer’s chemicals. The business model emerged first in the late 1980s 
in the US and has resulted in many long -term contract relationships (OECD, 2017[24]). 
Similar to the case of ESCO’s, the compensation of the provider is linked to the quantity 
and quality of the service and not, as in traditional models, to the volume of the chemicals 
used. By taking full responsibility of the chemicals used, the providing firm will also be 
responsible for their handling at the end -of-life and have incentives to optimise these 
costs. 
Integrated pest management (IPM) and performance based pest management (PPMS) is a 
special form of chemical leasing in the agricultural sector. The chemicals used for pest 
control are owned and handled by the providing company which possesses expertise 
about their optimal application. The com pensation is not based on the chemical volumes 
sold, but on the level of crop loss prevented. 
2.3. Drivers of circular business model adoption more generally 
The business case for the adoption of circular business models is not static, but varies 
according to a  broad set of societal level factors. Changes in consumer behaviour, the 
threat of new regulation, or concerns about the stability of key supply chains represent 
considerable business risks for firms operating traditional business models, and can 
stimulate switching towards greener, more circular modes of production. In a similar way, 
the appearance of new technologies can reduce the cost structure of relatively circular 
production, thereby creating opportunities for potential adopters. The following sectio n 
presents a brief snapshot of the factors that are facilitating the adoption of circular 
business models. 
2.3.1. Traditional “linear” modes of production: emerging business risks 
Regulatory risk is becoming a significant concern for firms that operate traditiona l 
business models. One example concerns the emerging prospect of more widespread and 
stringent carbon pricing. This probably partly explains the broader adoption of internal 
shadow carbon pricing within the private sector (CDP, 2016[25]), and the diversification of 
some fossil fuel producers into renewable electricity technologies  (Climate Home, 
2016[26]). Another example concerns the potential intr oduction of more stringent product 
design and material recovery standards in various countries. The recent adoption of bans 
of certain products made from plastic (e.g. such as single carrier plastic bag bans) in a 
number of countries, as well as the recent  European Union strategy on plastics are such 
examples (European Commission, 2018[27]), and probably represents a significant risk for 
firms whose products rely heavily on virgin plastic inputs. 
Many e merging renewable energy and information communication technologies are 
heavily reliant on materials that are geographically concentrated in a handful of countries. 
More than 80% of the global production of rare earth elements – a key input in several 
renewable energy technologies – takes place in China (USGS, 2016[28]). Similarly, about",../data/raw/business_models_circular_economy_oecd.pdf,36
"36 │ 2. CIRCULAR BUSINESS MODELS 
 
BUSINESS MODELS FOR THE CIRCULAR ECONOMY © OECD 2019 
  
half of global cobalt production – a key input in smartphone, laptop, and automotive 
batteries – takes place in the D emocratic Republic of Congo. For the firms that 
manufacture these products, geo -politically related supply chain disruptions are an 
important operational risk, but one that can be partially mitigated by the adoption of the 
circular supply, resource recovery, or product service system models. 
Heightened consumer awareness is creating new sources of reputational risk for 
established firms. Concerns about human rights abuses, dangerous working conditions, 
financing conflict have existed in the jewellery and cl othing sectors for many years, and 
have led to a proliferation of labelling schemes intended to differentiate ethically 
produced products from otherwise. In the environmental sphere, similar concerns – about 
global warming, plastics pollution and biodivers ity loss among others – may be creating 
new impetus for the adoption of greener or more circular modes of production. The recent 
pledges made  by eleven leading consumer goods firms (including Coca Cola, Unilever, 
and L’Oréal) to use 100% reusable, recyclable, or compostable packaging by 2025 (Ellen 
McArthur Foundation, 2018[29]) may partially reflect this issue.5 
2.3.2. Emerging technologies as a driver for the adoption of more circular 
modes of production 
The appearance and diffusion of new technologies has also been an important factor in 
the evolution and growth of circular business models. The emergence of the internet and 
the widespread uptake of digital devices have been particularly important. First, increased 
connectivity has reduced the transaction costs and risk associated with sharing goods, and 
increased the convenience of leasing rather than owning goods. Second, connectivity has 
allowed, in combination with smart sensor technology, real time mon itoring of product 
performance, which is probably facilitating certain types of product service system. 
Third, connectivity has allowed, in combination with digitalisation, a variety of consumer 
products to be significantly dematerialised. In addition to t he content related goods 
described above, digitalisation has also affected education (though the growth of so -
called massive open online courses) and work travel (through the emergence of 
teleconferencing). 
Improvements in more traditional production techn ologies have also improved the 
business case for some circular business models. In the case of the circular supply model, 
the rapid improvements in solar and wind generation technologies are well documented, 
and have allowed renewable facilities to become increasingly competitive with their fossil 
fuel based equivalents. In the case of the resource recovery  business model, the 
emergence of mechanised material sorting facilities (MRFs) has significantly improved 
the separation of different waste streams, the reby reducing the cost of secondary material 
production. In the case of the repair and remanufacturing business models, improvements 
in sensor technology have allowed faults to be diagnosed relatively quickly, again 
improving the underlying business case. 
Technological change is also creating a variety of risks in the context of resource use and 
environmental pressure. The emergence and diffusion of a variety of labour saving 
technologies – ranging from robotics in production to snow movers and leaf blowers  in 
consumption – may have actually increased the environmental footprint of some 
activities. In addition, rebound effects, which are discussed further in Section 4.4 , have 
probably offset at least some of the reduction s in resource extraction that have be en 
realised by efficiency improvements. Finally, the continued growth of green technologies 
may be shifting the environmental burden associated with resource extraction and use",../data/raw/business_models_circular_economy_oecd.pdf,37
"2. CIRCULAR BUSINESS MODELS │ 37 
 
BUSINESS MODELS FOR THE CIRCULAR ECONOMY © OECD 2019 
  
away from the atmosphere (in the form greenhouse gas and sulphur and nitrogen o xide 
emissions for example) towards water and land. The extraction and processing of the 
aluminium, copper, lithium, and rare earth elements used widely in the automotive, 
energy, and ICT sectors has a variety of often toxic by -products such as mine waste,  
process tailings, and smelter residues.",../data/raw/business_models_circular_economy_oecd.pdf,38
"38 │ 2. CIRCULAR BUSINESS MODELS 
 
BUSINESS MODELS FOR THE CIRCULAR ECONOMY © OECD 2019 
  
Notes
 
1  Circular supply models are also often said to facilitate an economy that is “regenerative by 
design”. 
2  This is perhaps an example of a hybrid circular business model. In many cases, it involves 
short-term access to, rather than ownership of, goods and services; a key characteristic of result -
based PSS models (e.g. Spotify or Netflix). In other cases, it is no more than a traditional sales 
model, but with transactions of digital rather than physical produ cts (e.g., e -books or digital 
newspaper subscriptions).  
3  That said, ownership of electronic devices is normally required for consumers to 
participate in these product offerings (Netflix and Spotify for example).  
4  MakeTime, a United States based online  platform, facilitates the procurement of precision 
manufactured parts by connecting product assembers (the client) with upstream production 
facilities (the supplier). 
5  Coca Cola has also pledged to, (i) collect and recycle the same volume of packaging that it 
produces, and (ii) incorporate 50% recycled content in to new packaging (both by 2030) (Coca 
Cola, 2018[144]). 
 
 
References 
 
Achterberg, E., J. Hinfelaar and N. Bocken (2016), The Value Hill Business Model Tool: 
identifying gaps and opportunities in a circular network, 
http://www.scienceandtheenergychallenge.nl/sites/default/files/multimedia/organization/sec/2
016-06-16_NWO_Sc4CE/NWO%20Sc4CE%20-
%20Workshop%20Business%20Models%20-
%20Paper%20on%20Circular%20Business%20Models.pdf (accessed on 
13 September 2018). 
[2] 
Bocken, N. et al. (2016), “Product design and business model strategies for a circular economy”, 
Journal of Industrial and Production Engineering, Vol. 33/5, pp. 308-320, 
http://dx.doi.org/10.1080/21681015.2016.1172124. 
[12] 
CDP (2016), Embedding a carbon price into business strategy, https://b8f65cb373b1b7b15feb-
c70d8ead6ced550b4d987d7c03fcdd1d.ssl.cf3.rackcdn.com/cms/reports/documents/000/001/1
32/original/CDP_Carbon_Price_report_2016.pdf?1474899276 (accessed on 
13 September 2018). 
[25] 
Climate Home (2016), Exxon, Shell, Total, Statoil renew clean energy drive, 
http://www.climatechangenews.com/2016/05/23/exxon-shell-total-and-statoil-make-clean-
energy-plays/ (accessed on 13 September 2018). 
[26] 
Cooper, T. (2004), “Inadequate Life?Evidence of Consumer Attitudes to Product Obsolescence”, 
Journal of Consumer Policy, Vol. 27/4, pp. 421-449, http://dx.doi.org/10.1007/s10603-004-
2284-6. 
[10]",../data/raw/business_models_circular_economy_oecd.pdf,39
"2. CIRCULAR BUSINESS MODELS │ 39 
 
BUSINESS MODELS FOR THE CIRCULAR ECONOMY © OECD 2019 
  
COWI (2008), Promoting Innovative Business Models with Environmental Benefits, 
http://www.cowi.com (accessed on 13 September 2018). 
[22] 
Ellen McArthur Foundation (2018), Eleven companies take major step towards a New Plastics 
Economy, https://www.ellenmacarthurfoundation.org/news/11-companies-take-major-step-
towards-a-new-plastics-economy (accessed on 13 September 2018). 
[29] 
Ellen McArthur Foundation (2015), GROWTH WITHIN: A CIRCULAR ECONOMY VISION 
FOR A COMPETITIVE EUROPE, 
https://www.ellenmacarthurfoundation.org/assets/downloads/publications/EllenMacArthurFo
undation_Growth-Within_July15.pdf (accessed on 13 September 2018). 
[16] 
European Commission (2018), Plastic Waste: a European strategy to protect the planet, defend 
our citizens and empower our industries, http://europa.eu/rapid/press-release_IP-18-5_en.htm 
(accessed on 18 January 2018). 
[27] 
Frenken, K. and J. Schor (2017), “Putting the sharing economy into perspective”, Environmental 
Innovation and Societal Transitions, Vol. 23, pp. 3-10, 
http://dx.doi.org/10.1016/J.EIST.2017.01.003. 
[19] 
Gaillochet, C. and P. Chalmin (2009), From waste to ressources : world waste survey 2009, 
https://www.researchgate.net/publication/41222409_From_waste_to_ressources_world_wast
e_survey_2009 (accessed on 13 September 2018). 
[7] 
IDDRI (2014), The sharing economy: make it sustainable, http://www.iddri.org (accessed on 
13 September 2018). 
[20] 
IMSA (2015), Circular business models: an introduction to IMSA's circular business model 
scan, 
https://groenomstilling.erhvervsstyrelsen.dk/sites/default/files/media/imsa_circular_business_
models_-_april_2015_-_part_1.pdf (accessed on 13 September 2018). 
[3] 
Lacy, P. and J. Rutqvist (2015), Waste to wealth : the circular economy advantage. [5] 
Le Moigne, R. and L. Georgeault (2016), “Remanufacturing: Une Formidable Opportunité Pour 
La France Industrielle de Demain”, https://www.wmaker.net/eco-
circulaire/attachment/656994/ (accessed on 13 September 2018). 
[15] 
Lewandowski, M. (2016), “Designing the Business Models for Circular Economy—Towards the 
Conceptual Framework”, Sustainability, Vol. 8/1, p. 43, http://dx.doi.org/10.3390/su8010043. 
[4] 
Long, X. et al. (2017), “Strategy Analysis of Recycling and Remanufacturing by 
Remanufacturers in Closed-Loop Supply Chain”, Sustainability, Vol. 9/10, pp. 1-29, 
https://ideas.repec.org/a/gam/jsusta/v9y2017i10p1818-d114402.html (accessed on 
13 September 2018). 
[9] 
OECD (2017), Economic Features of Chemical Leasing, 
https://one.oecd.org/document/ENV/JM/MONO(2017)10/en/pdf (accessed on 
13 September 2018). 
[24]",../data/raw/business_models_circular_economy_oecd.pdf,40
"40 │ 2. CIRCULAR BUSINESS MODELS 
 
BUSINESS MODELS FOR THE CIRCULAR ECONOMY © OECD 2019 
  
Osterwalder, A., Y. Pigneur and C. Tucci (2010), Clarifying Business Models: Origins, Present, 
and Future of the Concept, 
https://www.researchgate.net/publication/37426694_Clarifying_Business_Models_Origins_P
resent_and_Future_of_the_Concept (accessed on 13 September 2018). 
[1] 
Parker, D. et al. (2015), Remanufacturing Market Study, 
http://www.remanufacturing.eu/assets/pdfs/remanufacturing-market-study.pdf (accessed on 
13 September 2018). 
[14] 
Spelman, C. and B. Sheerman (2014), Triple Win: The Social, Economic, and Environmental 
Case for Remanufacturing, http://www.policyconnect.org.uk/apmg (accessed on 
13 September 2018). 
[13] 
Statista (2017), Airbnb - Statistics &amp; Facts, https://www.statista.com/topics/2273/airbnb/ 
(accessed on 13 September 2018). 
[18] 
STR (2017), Airbnb &amp; Hotel Performance, 
http://www.str.com/Media/Default/Research/STR_AirbnbHotelPerformance.pdf (accessed on 
13 September 2018). 
[17] 
Taranic, I., A. Behrens and C. Topi (2016), Understanding the Circular Economy in Europe, 
from Resource Efficiency to Sharing Platforms: The CEPS Framework, http://www.ceps.eu 
(accessed on 13 September 2018). 
[8] 
Thompson, A. et al. (2010), Benefits of a Product Service System Approach for Long-life 
Products: The Case of Light Tubes, http://www.ep.liu.se/ecp/077/011/ecp10077011.pdf 
(accessed on 13 September 2018). 
[6] 
Tukker, A. (2004), “Eight types of product–service system: eight ways to sustainability? 
Experiences from SusProNet”, Business Strategy and the Environment, Vol. 13/4, pp. 246-
260, http://dx.doi.org/10.1002/bse.414. 
[21] 
US EPA (2017), “U.S. EPA Sustainable Materials Management Program Strategic Plan”, 
https://www.epa.gov/sites/production/files/2016-
03/documents/smm_strategic_plan_october_2015.pdf (accessed on 23 April 2018). 
[23] 
USGS (2016), USGS Minerals Information: Commodity Statistics and Information, 
https://minerals.usgs.gov/minerals/pubs/commodity/ (accessed on 18 May 2018). 
[28] 
WRAP (2011), Realising the Reuse Value of Household WEEE, http://www.wrap.org.uk 
(accessed on 13 September 2018). 
[11]",../data/raw/business_models_circular_economy_oecd.pdf,41
"3. THE CURRENT SCALE AND POTENTIAL SCALABILITY OF CIRCULAR BUSINESS MODELS │ 41 
 
BUSINESS MODELS FOR THE CIRCULAR ECONOMY © OECD 2019 
  
Chapter 3.  The current scale and potential scalability of circular business 
models 
This chapter moves from describing different circular business models to assessing their 
potential scalability. Each of the headline business models considered in this report is 
analysed in terms of, i) their current market share, and ii) their ability to significantly 
scale up. The former draws upon existing market data from a variety of sources, while the 
latter is based on a review of the literature relating to these business models. The chapter 
concludes by summarising the current market penetration of circular business models, 
and by identifying several fundamental barriers to their future adoption.",../data/raw/business_models_circular_economy_oecd.pdf,42
"42 │ 3. THE CURRENT SCALE AND POTENTIAL SCALABILITY OF CIRCULAR BUSINESS MODELS 
 
BUSINESS MODELS FOR THE CIRCULAR ECONOMY © OECD 2019 
  
3.1. Introduction 
This chapter moves from describing different circular business models to assessing their 
potential scalability. Scalability is important. Achieving a genuine transition to a more 
circular economy – with significant decoupling of economic growth from natural resource 
extraction and use – will be unlikely if circular business models continue to occupy small 
economic niches in a limited number of countries.  
Most of the circular business models identified in Chapter 2 are not new. The resource 
recovery and product life extension business models have existed in the form of 
recycling, re-use, and repair for many millennia. As will be shown in this chapter, these 
activities are relatively mature in most sectors; the key question is therefore what kinds of 
technological, policy, or behavioural change could stimulate more widespread adop tion. 
Other circular business models are emerging rapidly in response to one or more 
underlying drivers. In the case of the circular supplies business model, increased 
environmental awareness along with a higher willingness to pay for green products seem 
to have been important. In the case of sharing business models, the availability of the 
internet, and the development of referral and reputational systems, have been key drivers. 
For these business models, the key questions are, (i) whether continued scale up is 
feasible once significant market share is attained, and (ii) whether they are potentially 
applicable to sectors other than those currently involved (e.g., how much potential do 
sharing models have beyond the accommodation sector?).   
The current scal e, and potential scalability, of individual business models and business 
model sub -types will vary according to the economic sector considered. Potential 
scalability of a particular business model will also vary according to the extent that 
related business models have already emerged. In some cases, this will involve synergies. 
The adoption of PSS business models will tend to provide manufacturers with incentives 
to design more modular and recyclable products, with clear benefits for material recovery 
activities further downstream. In other cases, there will be trade -offs; widespread 
investment in material recovery facilities may increase demand for secondary raw 
materials to the point where product repair or remanufacturing becomes less attractive. 
Assessing the scalability of all business models in all sectors, and the interactions 
between them, is beyond the scope of this work. This chapter aims to provide insights 
through the use of four key examples: recycling in the metals sector, product 
remanufacturing, sharing in short term accommodation sector, and product service 
systems in the transport sector.  
Predicting the market penetration of a particular business model beyond the immediate 
future is a necessarily subjective exercise. Business model adoption will be driven by the 
attractiveness of the underlying business case which, in turn, will depend on the evolution 
of an array of technological, policy, and behavioural factors. The approach taken in this 
chapter is to document current rates of market penetration and then, on the basis of the 
respective business model characteristics and the existence of any fundamental barriers to 
scale up, develop a view of potential future scalability.  
3.2. Resource recovery business models: the example of metal recycling 
3.2.1. Current market penetration 
Secondary metal production – producing finished metal products from recycled scrap – 
accounts for around 15% to 30% of the global production of the most widely used metals:",../data/raw/business_models_circular_economy_oecd.pdf,43
"3. THE CURRENT SCALE AND POTENTIAL SCALABILITY OF CIRCULAR BUSINESS MODELS │ 43 
 
BUSINESS MODELS FOR THE CIRCULAR ECONOMY © OECD 2019 
  
steel, aluminium, copper (Figure 3.1). This figure has fluctuated over the last 50 years, but 
with a notable recent decline for steel and aluminium, and an equally notable increase for 
copper. For less common, but nonetheless strategically important metals such as lithium 
and the group of rare earth elements, secondary production accounts for a negligible share 
of total output (UNEP, 2013[1]). Although this situation may be slowly changing with the 
recent increase in demand for these materials, there rema ins little data available. Given 
the low market share of secondary metal producers, there seems to be considerable 
potential for the scale up of the resource recovery business model in the metal sector. A 
similar conclusion could probably be drawn for othe r recyclable commodities with 
similarly limited market shares (plastics and paper for example).  
Figure 3.1. Evolution of secondary market share for finished steel, aluminium, and copper  
 
Source: USGS (2016[2]), Minerals Information Commodity Statistics, https://on.doi.gov/2OyIuAU; World 
Steel (2016[3]), World Steel Association Statistics, https://bit.ly/2pg71Qj; ABREEE (2016[4]), Resources and 
Energy Statistics, https://bit.ly/2D6vuBp 
3.2.2. Future scalability 
One fundamental constraint on the scalability of the resource recovery business model is 
the limited availability of scrap feedstock at a given point in time. In contrast to the 
primary metal production, where additional demand can be reliably met through the 
exploitation of known ore reserves, the amount of scrap available for processing each 
year is constrained, both by the decommissioning of long lived capital goods (e.g. 
buildings and vehicles), and by the disposal of short lived consumer goods (e.g. food 
packaging). In practice, this means that, even if recycling rates for a particular metal did 
approach 100%, it is unlikely that secondary production could satisfy more than half of 
total metal demand in the foreseeable  future. This issue is currently most relevant for 
steel, where global recycling rates are thought to be around 80% (UNEP, 2013[1]), while 
the proportion of secondary output in total production is only around 25% (Figure 3.1).1 
For the vast majority of other metals, recycling rates are typically lower than 25% 
(UNEP, 2013[1]), and it is a lack of economic competitiveness that currently holds back 
0
0.1
0.2
0.3
0.4Proportion of secondary metal in world final production
Steel Aluminium Copper",../data/raw/business_models_circular_economy_oecd.pdf,44
